,pred,std,lat,lon
100,0.7222623,0.9434408,34.75,78.0
101,1.409845,0.94291353,36.75,74.5
102,2.16199,0.9145924,35.0,76.5
103,3.5696087,0.946828,34.25,73.0
104,2.7916434,0.91034794,34.0,76.5
105,0.27715558,0.9837879,33.75,79.75
106,2.42651,0.912975,34.75,76.5
107,3.232375,0.9197606,35.5,73.5
108,1.0385346,0.93360364,35.5,77.5
109,0.22457457,1.0264418,33.75,81.25
110,3.6576054,0.91539526,35.0,74.75
111,0.45761386,0.9623086,34.75,78.75
112,1.519676,0.91947246,33.25,77.5
113,1.2034129,0.9260324,34.25,77.5
114,2.6207283,0.9077915,34.25,76.5
115,3.6804593,0.9179102,34.0,75.75
116,3.7226608,0.93778753,34.5,73.0
117,0.55423486,0.96690863,31.75,80.75
118,0.4818985,0.9555364,32.5,80.0
119,2.1810715,0.9198278,35.5,76.5
120,2.7333477,0.91106015,34.75,76.25
121,2.097202,0.92172617,36.0,75.75
122,1.2888836,0.92107964,34.0,77.5
123,3.2380052,0.91547406,35.5,74.0
124,1.7378511,0.9280721,32.75,77.75
125,1.0915906,0.9246899,34.75,77.75
126,3.7247207,0.9323557,34.75,72.75
127,3.7725754,0.91976255,34.75,75.0
128,0.40935,0.96188116,33.0,79.5
129,0.24411352,1.0072942,34.5,80.25
130,0.34294352,0.9664055,34.0,79.75
131,2.7008762,0.9268994,36.0,72.75
132,0.6644844,0.9423789,34.0,78.25
133,2.811911,0.9210401,33.0,76.75
134,1.6973588,0.9339291,36.5,73.0
135,3.275208,0.91051173,35.25,75.25
136,1.3688265,0.9405283,36.5,75.75
137,3.466227,0.91494983,35.25,75.0
138,1.6838648,0.9265667,36.0,76.5
139,1.0497906,0.92627347,34.0,77.75
140,1.920747,0.9270066,32.75,77.5
141,2.5861971,0.9140691,35.75,75.25
142,0.5055494,0.9646407,31.75,80.0
143,1.3145156,0.94159573,36.75,75.25
144,0.34328383,0.9600388,33.75,79.25
145,3.6010833,0.9148571,34.75,75.25
146,0.49538296,0.9673316,32.0,80.5
147,3.3934338,0.9132687,34.5,75.75
148,0.5524923,0.95153356,34.25,78.75
149,3.0906358,0.91160256,35.25,75.5
150,0.31181115,0.9789186,33.5,80.5
151,0.6634305,0.9462615,32.5,79.25
152,0.58982843,0.95377564,33.25,78.75
153,1.0488002,0.9505283,37.0,75.5
154,3.4583402,0.95305103,34.25,73.25
155,0.28028682,0.9908476,32.5,81.0
156,3.655867,0.94180775,34.5,73.25
157,2.4182224,0.91837054,32.75,77.25
158,1.9708723,0.9282473,36.25,74.75
159,2.7507024,0.9140807,35.75,74.5
160,0.7666281,0.9334334,33.5,78.25
161,1.2055441,0.92426115,33.5,77.75
162,0.762845,0.93871576,33.75,78.25
163,0.5866958,0.978784,31.25,81.5
164,1.335519,0.9200493,33.75,77.5
165,1.7258705,0.92198116,35.0,77.0
166,1.5185524,0.93491566,36.5,75.0
167,3.8844657,0.9258523,34.75,73.5
168,0.52408236,0.95278317,32.5,79.75
169,2.1642504,0.91261363,34.25,76.75
170,1.521414,0.9254546,35.25,77.25
171,3.718031,0.91964644,35.0,74.25
172,3.222609,0.9123609,34.75,75.75
173,0.2436566,1.0042619,33.5,81.0
174,0.30284187,0.9798162,32.25,81.0
175,0.38620985,0.9558734,34.5,79.25
176,2.1541553,0.9306708,36.25,73.0
177,0.99989605,0.9389742,32.25,79.0
178,0.6540309,0.95201653,33.0,78.75
179,2.5406861,0.9212751,36.0,73.5
180,0.31277877,0.9725398,34.5,79.75
181,0.5365657,0.9769933,31.5,80.5
182,2.9181678,0.925292,35.75,73.0
183,3.3227234,0.9603647,34.25,72.5
184,1.638346,0.9126433,33.75,77.25
185,3.1839044,0.9181552,34.0,76.25
186,1.3536837,0.93015647,35.75,77.0
187,0.45433855,0.98368967,32.0,81.0
188,0.3629469,0.959704,33.75,79.5
189,3.0783868,0.9118306,35.0,75.75
190,1.1239219,0.9292668,35.0,77.5
191,1.6066444,0.91773254,34.25,77.25
192,0.55427945,0.94600236,34.75,78.5
193,0.5090086,0.9649156,32.0,80.25
194,1.8595009,0.92655694,32.5,77.75
